Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,RowSums,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,1.0,2.0,2.0,7.0,1.0,7.0,7.0,7.0,1.0,7.0,4.0,1.0,2.0,2.0,20.0,1.0,10.0,1.0,10.0,2.0,1.0,5.0,Arts
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,6.0,7.0,7.0,1.0,7.0,4.0,7.0,1.0,7.0,0.0,2.0,2.0,1.0,13.0,3.0,2.0,5.0,60.0,2.0,1.0,2.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,7.0,1.0,1.0,7.0,7.0,5.0,7.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,16.0,1.0,1.0,3.0,60.0,2.0,1.0,2.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,7.0,1.0,7.0,1.0,7.0,6.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,15.0,1.0,1.0,3.0,60.0,0.0,1.0,3.0,psychology
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,6.0,3.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,1.0,3.0,2.0,1.0,15.0,1.0,1.0,3.0,60.0,2.0,1.0,3.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,4.0,3.0,7.0,2.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,15.0,1.0,1.0,2.0,60.0,2.0,1.0,3.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,GB,1.0,7.0,1.0,7.0,5.0,5.0,2.0,7.0,1.0,4.0,1.0,3.0,3.0,1.0,14.0,1.0,2.0,3.0,60.0,2.0,1.0,5.0,
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,MY,7.0,7.0,4.0,7.0,6.0,5.0,4.0,7.0,1.0,5.0,2.0,3.0,2.0,2.0,18.0,1.0,2.0,2.0,30.0,2.0,1.0,4.0,English
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,US,1.0,1.0,3.0,7.0,1.0,7.0,4.0,5.0,1.0,7.0,1.0,1.0,3.0,1.0,14.0,1.0,12.0,2.0,60.0,2.0,1.0,2.0,psychology
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,168.0,CA,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,23.0,3.0,7.0,1.0,60.0,0.0,1.0,1.0,
